timestamp,min_cpu,max_cpu,avg_cpu
2017-01-20 06:40:00,651657.9401809891,1995880.65969298,1093220.2053410022
2017-01-15 11:00:00,692520.2937820003,2167793.5535409963,1213343.6329299894
2017-01-13 15:30:00,722545.6082570022,2314424.666933006,1281870.6938329944
2017-01-04 00:25:00,656866.3700949982,2212467.1644840003,1148928.8459899784
2017-01-17 19:20:00,698476.7068490053,2271270.642209012,1252638.0645790095
2017-01-12 16:40:00,780572.0582810101,2434183.950205009,1366790.7675329908
2017-01-21 02:05:00,666031.9366860011,1944283.8355810028,1080636.0900909875
2017-01-26 19:45:00,836307.8717010102,2480366.61501696,1439718.3375880208
2017-01-03 21:25:00,703438.0531600175,2405264.4936449863,1268780.2746029915
2017-01-04 02:30:00,659655.9446290215,2142092.466753007,1125972.324305005
2017-01-02 11:10:00,680184.0371540057,2269519.819465029,1219737.9960630038
2017-01-13 11:40:00,704942.567353006,2187195.748289,1204246.2717359834
2017-01-27 08:55:00,765700.0754450003,2312474.433947974,1309102.6772540205
2017-01-22 13:50:00,764095.8959039941,2262167.5518990033,1314820.6108770007
2017-01-01 07:55:00,650273.0181120017,2095119.386991004,1119014.9825349804
2017-01-29 06:25:00,671294.0955230072,2122570.4252070063,1152823.3662989913
2017-01-03 08:50:00,681422.1345259971,2219545.9589570053,1179064.6023829994
2017-01-16 23:25:00,646474.9436890017,2090743.3793259875,1124402.399763987
2017-01-12 08:30:00,736380.4302990041,2203029.2539899973,1227521.080986004
2017-01-15 22:45:00,711596.0775630106,2202947.0508240075,1230999.7135350143
2017-01-11 14:50:00,730060.3171710005,2281805.4858520096,1266524.557311995
2017-01-11 19:45:00,736142.5190600044,2357808.8078990537,1299391.670280007
2017-01-22 00:05:00,664993.022044999,2036072.2495719816,1124905.4924000036
2017-01-02 15:05:00,753752.9653349969,2407957.3002749896,1332599.3108480186
2017-01-08 18:00:00,787604.8349109809,2389205.064640986,1358631.2272310106
2017-01-17 18:45:00,710386.0088290116,2294232.0940779755,1275678.258505985
